DISTRICT,TOWN,DESTINATION,Category
AHMEDNAGAR,Shirdi (M Cl),Shirdi,Religious & Spiritual
AHMEDNAGAR,Shirdi (M Cl),Shanisignapur,Religious & Spiritual
AHMEDNAGAR,Srigonda,Siddhivinayak - Siddhatek (Astvinayak),Religious & Spiritual
AHMEDNAGAR,Ahmadnagar (M Cl),Ahmednagar fort,Forts
AHMEDNAGAR,Ahmadnagar (M Cl),Newasa,Religious & Spiritual
AHMEDNAGAR,Ahmadnagar (M Cl),"Kalasubai Harischandragad Wild Life
Sanctury",Forests & Wildlife
AHMEDNAGAR,Ahmadnagar (M Cl),Bhandardara (Dam),Lake & Water bodies
AHMEDNAGAR,Ahmadnagar (M Cl),Ravekudi,Religious & Spiritual
AKOLA,Akot (M Cl),Narnala wildlife sanctuary,Forests & Wildlife
AKOLA,Akot (M Cl), Narnala Fort,Forts
AKOLA,Balapur,Balapur Fort,Forts
AMRAVATI,"Chikhaldara (Hill
Station)","Melghat Tiger Project
",Forests & Wildlife
AMRAVATI,"Chikhaldara (Hill
Station)",Gugamal National park,Forests & Wildlife
AMRAVATI,Morshi (M Cl)-,Salbardi    (Chakradher Swami Mandir),Religious & Spiritual
AMRAVATI,Amravati (M Corp.),Ambadevi Temple,Religious & Spiritual
AMRAVATI,Amravati (M Corp.), Ekvira Temple,Religious & Spiritual
AURANGABAD,Aurangabad (CB),Ajanta,Caves
AURANGABAD,Aurangabad (CB),Daultabad Fort,Forts
AURANGABAD,Aurangabad (CB),Ellora,Caves
AURANGABAD,Aurangabad (CB),Bibi Ka Makbara,Heritage Site
AURANGABAD,Aurangabad (CB),Grishneshwer (Jyotirling),Religious & Spiritual
AURANGABAD,Aurangabad (CB),Shri Bhadra Maruti Temple,Religious & Spiritual
AURANGABAD,Paithan (M Cl),Paithan - Jayakwadi ( Paithani Sari ),Heritage Site
BEED,Bid (M Cl),Kapildhara (Ashram Of Kapilmuni),Religious & Spiritual
BEED,Bid (M Cl),Parali Vaishnath,Religious & Spiritual
BHANDARA,Tumsar (M Cl),Ambagar Fort,Forts
BHANDARA,Sakoli,Chinchgad,Lake & Water bodies
BHANDARA,Bhandara (M Cl),Dighod,Heritage Site
BHANDARA,Bhandara (M Cl),Brahmi,Heritage Site
BULDHANA,Shegaon (M Cl),Sheogaon (Samadhi of Gajanan Maharaj),Religious & Spiritual
BULDHANA,Lonar (M Cl),Datyasudan Temple,Religious & Spiritual
BULDHANA,Lonar (M Cl),Lonar Crater,Lake & Water bodies
CHANDRAPUR,Brahmapuri (M Cl),Nagbhir (Ghodajhari) Picnic Spot,Hill-Station
CHANDRAPUR,Chandrapur (M Cl),Tadoba national park,Forests & Wildlife
CHANDRAPUR,Chandrapur (M Cl),Tadoba lake,Lake & Water bodies
DHULE,"Shirpur-Warwade (M
Cl)",Anerdam Wildlife Sanctury,Forests & Wildlife
GADCHIROLI,Gadchiroli (M Cl),"Jinganur       (Bhamergargh Wildlife
Sanctury)",Forests & Wildlife
GONDIA,Gondia (M Cl),Nayagaon Wild Life  Sanctury,Forests & Wildlife
HINGOLI,Hingoli (M Cl),Aundha Nagnath ( Jyotirling),Religious & Spiritual
HINGOLI,Hingoli (M Cl),Narsi Namdev,Religious & Spiritual
HINGOLI,Basmath (M Cl),"Mallinath Digambar Jain ( audhanagnath)
35km",Religious & Spiritual
JALGAON,Chopda (M Cl),Unapdev hot Spring mouth,Lake & Water bodies
JALGAON,Chopda (M Cl),Adavad,Hill-Station
JALGAON,Muktainager,Bhusawal,Heritage Site
JALGAON,Muktainager,Changdev Maharaj,Religious & Spiritual
JALGAON,Amalner (M Cl),Amalner Tirath,Religious & Spiritual
JALGAON,Amalner (M Cl),"
Amalner Fort",Forts
JALGAON,Chalisgaon(M Cl),Patanadevi Temple,Religious & Spiritual
JALNA,Jalna (M Cl),Shree Ganesh of Rajur,Religious & Spiritual
JALNA,Jalna (M Cl),The Matsyodari Devi Temple,Religious & Spiritual
JALNA,Jalna (M Cl),Moti bagh,Lake & Water bodies
JALNA,Jalna (M Cl),Jamb Samartha,Religious & Spiritual
KOLHAPUR,Radhanagari,Radhanagri Dam,Lake & Water bodies
KOLHAPUR,Radhanagari,Radhanagri (Dazipur Wild Life Santuary),Forests & Wildlife
KOLHAPUR,Malkapur (M Cl),Vishalgad Fort,Forts
