DISTRICT,TOWN,DESTINATION,Category,Favourite
AHMEDNAGAR,Shirdi (M Cl),Shirdi,Religious & Spiritual,1
AHMEDNAGAR,Shirdi (M Cl),Shanisignapur,Religious & Spiritual,0
AHMEDNAGAR,Srigonda,Siddhivinayak - Siddhatek (Astvinayak),Religious & Spiritual,0
AHMEDNAGAR,Ahmadnagar (M Cl),Ahmednagar fort,Forts,0
AHMEDNAGAR,Ahmadnagar (M Cl),Newasa,Religious & Spiritual,0
AHMEDNAGAR,Ahmadnagar (M Cl),"Kalasubai Harischandragad Wild Life
Sanctury",Forests & Wildlife,0
AHMEDNAGAR,Ahmadnagar (M Cl),Bhandardara (Dam),Lake & Water bodies,1
AHMEDNAGAR,Ahmadnagar (M Cl),Ravekudi,Religious & Spiritual,0
AKOLA,Akot (M Cl),Narnala wildlife sanctuary,Forests & Wildlife,0
AKOLA,Akot (M Cl), Narnala Fort,Forts,0
AKOLA,Balapur,Balapur Fort,Forts,0
AMRAVATI,"Chikhaldara (Hill
Station)","Melghat Tiger Project
",Forests & Wildlife,0
AMRAVATI,"Chikhaldara (Hill
Station)",Gugamal National park,Forests & Wildlife,0
AMRAVATI,Morshi (M Cl)-,Salbardi    (Chakradher Swami Mandir),Religious & Spiritual,0
AMRAVATI,Amravati (M Corp.),Ambadevi Temple,Religious & Spiritual,0
AMRAVATI,Amravati (M Corp.), Ekvira Temple,Religious & Spiritual,0
AURANGABAD,Aurangabad (CB),Ajanta,Caves,1
AURANGABAD,Aurangabad (CB),Daultabad Fort,Forts,0
AURANGABAD,Aurangabad (CB),Ellora,Caves,1
AURANGABAD,Aurangabad (CB),Bibi Ka Makbara,Heritage Site,0
AURANGABAD,Aurangabad (CB),Grishneshwer (Jyotirling),Religious & Spiritual,0
AURANGABAD,Aurangabad (CB),Shri Bhadra Maruti Temple,Religious & Spiritual,0
AURANGABAD,Paithan (M Cl),Paithan - Jayakwadi ( Paithani Sari ),Heritage Site,0
BEED,Bid (M Cl),Kapildhara (Ashram Of Kapilmuni),Religious & Spiritual,0
BEED,Bid (M Cl),Parali Vaishnath,Religious & Spiritual,0
BHANDARA,Tumsar (M Cl),Ambagar Fort,Forts,0
BHANDARA,Sakoli,Chinchgad,Lake & Water bodies,0
BHANDARA,Bhandara (M Cl),Dighod,Heritage Site,0
BHANDARA,Bhandara (M Cl),Brahmi,Heritage Site,0
BULDHANA,Shegaon (M Cl),Sheogaon (Samadhi of Gajanan Maharaj),Religious & Spiritual,0
BULDHANA,Lonar (M Cl),Datyasudan Temple,Religious & Spiritual,0
BULDHANA,Lonar (M Cl),Lonar Crater,Lake & Water bodies,0
CHANDRAPUR,Brahmapuri (M Cl),Nagbhir (Ghodajhari) Picnic Spot,Hill-Station,0
CHANDRAPUR,Chandrapur (M Cl),Tadoba national park,Forests & Wildlife,0
CHANDRAPUR,Chandrapur (M Cl),Tadoba lake,Lake & Water bodies,0
DHULE,"Shirpur-Warwade (M
Cl)",Anerdam Wildlife Sanctury,Forests & Wildlife,0
GADCHIROLI,Gadchiroli (M Cl),"Jinganur       (Bhamergargh Wildlife
Sanctury)",Forests & Wildlife,0
GONDIA,Gondia (M Cl),Nayagaon Wild Life  Sanctury,Forests & Wildlife,0
HINGOLI,Hingoli (M Cl),Aundha Nagnath ( Jyotirling),Religious & Spiritual,0
HINGOLI,Hingoli (M Cl),Narsi Namdev,Religious & Spiritual,0
HINGOLI,Basmath (M Cl),"Mallinath Digambar Jain ( audhanagnath)
35km",Religious & Spiritual,0
JALGAON,Chopda (M Cl),Unapdev hot Spring mouth,Lake & Water bodies,0
JALGAON,Chopda (M Cl),Adavad,Hill-Station,0
JALGAON,Muktainager,Bhusawal,Heritage Site,0
JALGAON,Muktainager,Changdev Maharaj,Religious & Spiritual,0
JALGAON,Amalner (M Cl),Amalner Tirath,Religious & Spiritual,0
JALGAON,Amalner (M Cl),"
Amalner Fort",Forts,0
JALGAON,Chalisgaon(M Cl),Patanadevi Temple,Religious & Spiritual,0
JALNA,Jalna (M Cl),Shree Ganesh of Rajur,Religious & Spiritual,0
JALNA,Jalna (M Cl),The Matsyodari Devi Temple,Religious & Spiritual,0
JALNA,Jalna (M Cl),Moti bagh,Lake & Water bodies,0
JALNA,Jalna (M Cl),Jamb Samartha,Religious & Spiritual,0
KOLHAPUR,Radhanagari,Radhanagri Dam,Lake & Water bodies,0
KOLHAPUR,Radhanagari,Radhanagri (Dazipur Wild Life Santuary),Forests & Wildlife,0
KOLHAPUR,Malkapur (M Cl),Vishalgad Fort,Forts,0
KOLHAPUR,Panhala (M Cl),Panhala fort,Forts,0
KOLHAPUR,Kolhapur (M Corp.),Rankala lake,Lake & Water bodies,0
KOLHAPUR,Kolhapur (M Corp.),Mahalaxmi Temple,Religious & Spiritual,0
KOLHAPUR,Kolhapur (M Corp.),Maharaja palace,Heritage Site,0
KOLHAPUR,Kolhapur (M Corp.),Shalini Palace,Heritage Site,0
KOLHAPUR,Kolhapur (M Corp.),Mandre Museum,Museum,0
LATUR,Latur (M Cl),City park,Heritage Site,0
MUMBAI,Mumbai,Gateway of India,Heritage Site,0
MUMBAI,Mumbai,Prince of wales museum,Museum,0
MUMBAI,Mumbai,Jahangir art gallery,Museum,0
MUMBAI,Mumbai,Marine Drive,Beaches,0
MUMBAI,Mumbai,Hanging Garden,Heritage Site,0
MUMBAI,Mumbai,Mahalaxmi temple,Religious & Spiritual,0
MUMBAI,Mumbai,Haji Ali,Religious & Spiritual,0
MUMBAI,Mumbai,Juhu Beach,Beaches,0
MUMBAI,Mumbai,Sidhivinayak,Religious & Spiritual,0
MUMBAI,Mumbai,Malabar hill,Hill-Station,0
MUMBAI,Mumbai,Elephanta caves,Caves,0
MUMBAI,Mumbai,Nehru Planetarium,Museum,0
MUMBAI,Mumbai,Sanjay Gandhi National park ,Forests & Wildlife,0
MUMBAI,Mumbai,Kanheri Caves ,Caves,0
NAGPUR,Mauda,Kanhan,Lake & Water bodies,0
NAGPUR,Totaladoh (CT),Pench National park,Forests & Wildlife,0
NAGPUR,Ramtek (M Cl),Ramtek  ( Shri Ram Temple ),Religious & Spiritual,0
NAGPUR,Nagpur (M Corp.),Ambazari Lake,Lake & Water bodies,0
NAGPUR,Nagpur (M Corp.),Balaji Temple,Religious & Spiritual,0
NAGPUR,Nagpur (M Corp.),Maharaj Baug-zoo,Forests & Wildlife,0
NANDURBAR,Taloda (M Cl),Toranmal,Hill-Station,0
NANDURBAR,Taloda (M Cl),Toranmal shiv temple,Religious & Spiritual,0
NANDURBAR,Taloda (M Cl),"
Hidimba's forest",Forests & Wildlife,0
NANDURBAR,Taloda (M Cl),Sardar Sarovar Project - kevadia dam,Lake & Water bodies,0
NANDURBAR,Taloda (M Cl),Fort of Akka Rani,Forts,0
NANDURBAR,Shahade (M Cl),Historical Well Of Tawalai,Heritage Site,0
NANDURBAR,Nandurbar (M Cl),Sideshwar Temple,Religious & Spiritual,0
NASIK,Nashik (M Corp.),Trimbakeshwar (Jyotirling),Religious & Spiritual,0
NASIK,Nashik (M Corp.),Pandav caves,Caves,0
NASIK,Nashik (M Corp.),"Sinhastha Kumbh
Mela(Punchvati-godavari Ghat)",Religious & Spiritual,0
NASIK,Igatpuri (M Cl),Igatpuri,Hill-Station,0
