YEAR,MONTH,AHMEDNAGAR,AKOLA,AMRAVATI,AURANGABAD,BEED,BHANDARA,BULDHANA,CHANDRAPUR,DHULE,GADCHIROLI,GONDIA,HINGOLI,JALGAON,JALNA,KOLHAPUR,LATUR,MUMBAI,NAGPUR,NANDURBAR,NASIK,NANDED,OSMANABAD,PARBHANI,PUNE,RAIGHAD,RATNAGIRI,SANGLI,SATARA,SINDHUDURG,SOLAPUR,THANE,WARDHA,WASHIM,YAVATMAL,TOTAL
9,1,1428345,9049,118189,951520,777133,7150,253124,229544,8490,1477,136782,349723,302972,180686,524964,24314,2894065,434853,267602,297369,335370,396243,85611,875370,227338,91590,57330,195265,129014,429669,161186,21649,19216,166323,12388527
9,2,1305878,8917,119816,895839,655833,6925,201230,215491,7618,887,113880,390545,276322,169531,496677,18609,2773256,384256,234239,347403,293239,375727,94256,888413,205502,80355,52689,173960,120384,392805,146089,21179,15478,146969,11630198
9,3,1281956,8337,111190,854531,621947,5566,186036,207717,7010,858,110075,367291,266610,165608,484011,17614,2724511,344964,221112,335550,284126,361319,94223,869434,197406,74592,49098,161618,112884,373888,136404,19534,14664,134695,11206380
9,4,1289575,7201,99048,791120,604295,5462,182244,193462,6721,826,97569,365064,263724,152101,528198,16011,2615835,323541,194365,317057,273421,353269,84094,844321,181412,72297,46886,156246,98221,363957,126363,17732,13167,123846,10808651
9,5,1349816,8325,101631,806951,639341,5588,192118,205627,7279,1114,103513,367823,276114,172231,544987,17004,2764885,346486,203008,343184,293518,356550,85951,902066,189469,73568,48203,166982,102819,392087,133755,18552,14526,129096,11364167
9,6,1368257,8819,105043,804846,625323,5712,170091,196313,7465,1211,99391,354088,258505,170179,512566,16011,2696262,339334,197240,331497,273421,348812,85956,896665,183413,70628,50186,160953,103746,380636,130306,18760,14365,124914,11110911
9,7,345264,17597,18104,184404,8545,5856,1376,20137,747,3788,11725,14167,37774,22939,74938,10323,1856611,81145,26807,126655,93393,125803,11891,441951,6819,14990,3574,69472,1307,195348,13292,13626,5940,25535,3881520
9,8,746743,5783,89402,109426,10360,129104,84202,232182,5798,2919,208125,171932,288455,4974,539092,11333,1767478,297651,207842,299506,7790,9332,1995,546570,25931,45276,36867,65552,34639,317312,118406,3323,3521,159007,6576499
9,9,785112,7043,53907,97492,14334,88937,57407,103804,7659,7832,62206,132927,222767,36202,541171,15222,1929918,343843,144112,195988,37096,293390,42123,590678,75675,52964,37377,49437,29187,160348,118353,6498,6517,78018,6410321
9,10,881403,7906,96634,740996,21018,103981,147181,190938,7012,13934,113437,212737,278062,37107,490934,15698,2640348,368426,187991,332476,83340,711879,64747,853767,113002,60723,54248,83799,50530,340359,162265,7961,19206,137343,9615689
9,11,900217,8083,105801,720635,128721,11374,176481,191849,5213,1783,109460,197935,300599,89193,455063,22521,2765263,360035,229313,258872,142177,468296,84804,612637,167236,64299,40857,107065,51518,391219,201614,17613,15476,142551,9523251
9,12,1246805,8229,106151,764374,238013,7845,173763,185582,5229,1060,128021,197498,269516,115282,449689,10222,2935867,398359,246951,185552,154604,332573,84652,744801,179970,88127,58057,165408,83676,375570,161345,19005,15488,133510,10260569
10,1,1535813,16654,106778,1578028,421322,7364,221165,208659,9466,2606,125868,339924,305125,158733,526488,39831,2603950,395144,209980,382529,282601,491277,74871,999520,211640,280247,46467,193464,168766,502703,198206,24528,12192,130086,13008857
10,2,1457914,16462,106171,1566373,362025,7121,195513,199756,8722,2079,112823,357859,287788,151613,508086,37093,2470881,366349,194936,413532,259252,474856,79318,973648,201017,253383,44093,180037,172676,484944,192868,23500,10835,119950,12513920
10,3,1459330,16950,102376,1529473,344395,6279,188081,199149,9129,2378,112724,347268,288048,148423,507053,36597,2473217,351253,186737,400973,256646,473195,79283,958634,195263,253752,42705,174832,160914,475285,184996,24282,10518,114989,12327108
10,4,1248995,12247,73993,1316496,332031,5711,177391,175744,8494,1744,101688,326265,274626,136442,519309,30356,2473499,326955,167112,374409,243171,463091,73232,1281058,181885,223511,40944,167229,148026,459336,175365,23174,9969,109161,11842281
10,5,1392576,13012,67643,1293428,341193,5945,168317,174245,8215,1599,100923,340396,273281,137740,519830,26915,2640383,326284,160612,376849,255517,469455,72645,1360369,963912,211905,40452,168802,145728,458548,174261,24264,10153,111121,13020525
10,6,1421391,13857,77801,1243346,330089,6277,164386,164718,8076,1658,94231,306279,246068,139712,485234,27830,2617382,310635,161470,358329,241762,462002,69940,1357977,929614,198218,40026,159092,141849,440347,166539,21445,10193,107823,12706503
10,7,636366,17909,38617,785383,15834,5915,75830,81811,5088,2806,43360,112503,144035,61330,256974,25673,2149510,175653,71878,261614,146946,345448,32415,690815,866309,163401,16470,108651,80291,338619,106319,20433,6279,57765,8110291
10,8,907933,9622,79520,668705,20413,67500,115917,199995,7185,2883,143236,212363,272468,52986,480543,28052,2199782,294086,172260,355611,109880,291538,28216,852115,103601,182181,33589,108666,104853,396966,164335,14499,4337,126186,8969031
10,9,967937,11941,64302,648450,26323,47736,104643,131854,8582,5098,73954,201165,251082,81673,491620,33769,2324456,302821,133739,308382,129104,439961,48034,914800,133067,188035,31696,104919,95918,324746,155914,14323,5503,86648,9075965
10,10,926992,16263,82990,1211394,34294,55160,156844,183435,7622,7914,105970,230184,271323,78736,486421,34294,2691632,334513,163325,379748,148264,653533,60983,954594,142196,198002,41255,125789,102975,419520,181267,17308,12490,114315,10820487
10,11,954541,16421,90259,1260261,90568,9372,178027,189554,7425,1634,108580,236500,293564,106678,475117,38972,2800918,350956,186055,356932,180018,532955,74585,850765,175566,210921,35692,142192,105044,467041,202464,22700,10773,118440,11069732
10,12,1485026,17425,102791,1530899,153880,7639,185154,193017,7790,1807,125019,268426,294842,125592,498428,34251,2929099,385501,202626,334766,195750,468446,75817,923981,192158,269366,47782,182135,149751,487585,200773,24098,11268,116211,12438154
11,1,1642740,23541,94602,2203504,65284,5887,188984,187559,10131,1986,113676,329194,305587,134848,527337,53690,2313321,354653,152106,466820,229211,586064,63593,1123376,194715,468344,34497,189828,207792,575334,233254,26385,4917,93226,13628843
11,2,1608783,23225,91120,2235262,67350,5813,188068,183442,9280,1899,111332,323658,298781,131965,519104,54821,2167731,348078,154278,477703,223464,573567,62452,1057276,195571,425947,33552,185268,224078,576822,238624,25546,4797,91457,13396570
11,3,1635931,23911,93205,2204138,65858,5529,189747,189972,9270,2032,115096,325268,308269,129361,529143,54550,2220017,356125,151080,464502,227773,583482,62897,1046420,191169,432281,34605,186631,208369,574762,232600,27058,4657,94055,13446548
11,4,1207781,16122,48000,1841050,59019,5170,171452,156077,9114,1734,104894,286634,283806,119412,509283,43012,2329844,329048,138166,429825,211597,571899,60597,1716810,180879,374176,33445,177522,197354,554328,223136,27269,4854,93076,12874252
11,5,1434529,17482,33425,1778393,42616,4734,143111,141620,8885,1339,97377,312428,269827,101685,494277,36176,2514737,305199,116316,408697,216774,580757,57497,1817790,1737667,349759,31211,168985,186989,523391,213177,28965,4506,92101,14675474
11,6,1473077,17519,49590,1680085,33178,4995,156888,132118,8276,1043,88721,256584,232839,107375,456341,38910,2537803,281627,124204,383969,209538,573540,53507,1817804,1674920,325602,29375,155972,178689,499347,201162,22394,4166,90319,14300901
11,7,925847,16945,58010,1385929,21944,5297,149868,142317,9168,898,74622,209750,249325,98171,437756,40672,2442086,268866,116294,396104,199268,564218,50971,937738,1724561,310806,27497,145984,157579,480241,197864,25660,4974,89623,12338157
